k,cum_energy
354.000000,0.997225
355.000000,0.997274
356.000000,0.997322
357.000000,0.997370
358.000000,0.997417
359.000000,0.997464
360.000000,0.997510
361.000000,0.997556
362.000000,0.997600
363.000000,0.997645
364.000000,0.997688
365.000000,0.997731
366.000000,0.997775
367.000000,0.997817
368.000000,0.997859
369.000000,0.997899
370.000000,0.997940
371.000000,0.997980
372.000000,0.998019
373.000000,0.998058
374.000000,0.998097
375.000000,0.998134
376.000000,0.998171
377.000000,0.998207
378.000000,0.998242
379.000000,0.998278
380.000000,0.998312
381.000000,0.998347
382.000000,0.998380
383.000000,0.998414
384.000000,0.998446
385.000000,0.998479
386.000000,0.998511
387.000000,0.998542
388.000000,0.998573
389.000000,0.998603
390.000000,0.998633
391.000000,0.998662
392.000000,0.998690
393.000000,0.998718
394.000000,0.998746
395.000000,0.998773
396.000000,0.998800
397.000000,0.998826
398.000000,0.998852
399.000000,0.998878
400.000000,0.998903
401.000000,0.998928
402.000000,0.998952
403.000000,0.998977
404.000000,0.999000
405.000000,0.999024
406.000000,0.999047
407.000000,0.999070
408.000000,0.999093
409.000000,0.999115
410.000000,0.999137
411.000000,0.999158
412.000000,0.999179
413.000000,0.999200
414.000000,0.999221
415.000000,0.999241
416.000000,0.999260
417.000000,0.999279
418.000000,0.999298
419.000000,0.999317
420.000000,0.999335
421.000000,0.999352
422.000000,0.999369
423.000000,0.999386
424.000000,0.999403
425.000000,0.999418
426.000000,0.999434
427.000000,0.999450
428.000000,0.999465
429.000000,0.999480
430.000000,0.999495
431.000000,0.999509
432.000000,0.999523
433.000000,0.999536
434.000000,0.999549
435.000000,0.999562
436.000000,0.999574
437.000000,0.999587
438.000000,0.999598
439.000000,0.999610
440.000000,0.999621
441.000000,0.999632
442.000000,0.999644
443.000000,0.999654
444.000000,0.999665
445.000000,0.999675
446.000000,0.999685
447.000000,0.999694
448.000000,0.999703
449.000000,0.999712
450.000000,0.999721
451.000000,0.999730
452.000000,0.999738
453.000000,0.999746
454.000000,0.999754
455.000000,0.999762
456.000000,0.999770
457.000000,0.999777
458.000000,0.999784
459.000000,0.999792
460.000000,0.999798
461.000000,0.999805
462.000000,0.999812
463.000000,0.999818
464.000000,0.999824
465.000000,0.999830
466.000000,0.999836
467.000000,0.999841
468.000000,0.999847
469.000000,0.999852
470.000000,0.999857
471.000000,0.999862
472.000000,0.999867
473.000000,0.999872
474.000000,0.999877
475.000000,0.999881
476.000000,0.999886
477.000000,0.999890
478.000000,0.999894
479.000000,0.999898
480.000000,0.999902
481.000000,0.999906
482.000000,0.999910
483.000000,0.999914
484.000000,0.999917
485.000000,0.999920
486.000000,0.999924
487.000000,0.999927
488.000000,0.999930
489.000000,0.999933
490.000000,0.999935
491.000000,0.999938
492.000000,0.999941
493.000000,0.999943
494.000000,0.999946
495.000000,0.999949
496.000000,0.999951
497.000000,0.999953
498.000000,0.999956
499.000000,0.999958
500.000000,0.999960
501.000000,0.999962
502.000000,0.999964
503.000000,0.999966
504.000000,0.999968
505.000000,0.999969
506.000000,0.999971
507.000000,0.999973
508.000000,0.999975
509.000000,0.999976
510.000000,0.999978
511.000000,0.999979
512.000000,0.999980
513.000000,0.999982
514.000000,0.999983
515.000000,0.999984
516.000000,0.999985
517.000000,0.999986
518.000000,0.999986
519.000000,0.999987
520.000000,0.999988
521.000000,0.999989
522.000000,0.999989
523.000000,0.999990
524.000000,0.999991
525.000000,0.999991
526.000000,0.999992
527.000000,0.999992
528.000000,0.999993
529.000000,0.999994
530.000000,0.999994
531.000000,0.999995
532.000000,0.999995
533.000000,0.999995
534.000000,0.999996
535.000000,0.999996
536.000000,0.999996
537.000000,0.999997
538.000000,0.999997
539.000000,0.999997
540.000000,0.999998
541.000000,0.999998
542.000000,0.999998
543.000000,0.999998
544.000000,0.999999
545.000000,0.999999
546.000000,0.999999
547.000000,0.999999
548.000000,0.999999
549.000000,0.999999
550.000000,0.999999
551.000000,1.000000
552.000000,1.000000
553.000000,1.000000
554.000000,1.000000
555.000000,1.000000
556.000000,1.000000
557.000000,1.000000
558.000000,1.000000
559.000000,1.000000
560.000000,1.000000
561.000000,1.000000
562.000000,1.000000
563.000000,1.000000
564.000000,1.000000
565.000000,1.000000
566.000000,1.000000
567.000000,1.000000
568.000000,1.000000
569.000000,1.000000
570.000000,1.000000
571.000000,1.000000
572.000000,1.000000
